x,y
79,74
92,43
80,41
95,54
78,61
62,45
27,71
28,74
38,46
83,41
89,63
36,12
28,16
11,58
26,59
87,66
91,60
56,47
76,74
28,86
77,50
59,51
34,21
22,42
35,59
35,46
6,70
28,80
25,88
74,50
17,43
31,33
32,27
65,50
16,88
26,22
95,45
75,61
28,77
50,47
23,28
41,46
56,51
83,56
95,48
10,61
89,41
13,52
26,68
77,41
31,36
85,72
66,64
47,46
59,47
50,53
31,39
20,37
10,86
27,19
5,73
71,50
33,24
53,52
38,58
71,42
86,41
26,65
26,62
23,49
41,56
29,57
36,15
25,25
68,43
19,88
20,48
29,48
65,44
68,50
9,64
22,88
65,67
5,79
86,69
80,50
26,49
14,49
95,51
67,70
7,67
74,41
93,57
5,76
81,59
53,47
21,34
32,11
13,87
70,72
44,46
31,30
44,55
7,85
16,46
72,61
69,62
6,82
36,18
25,42
20,45
22,31
28,41
32,46
18,40
83,53
29,13
12,55
73,73
82,74
28,83
62,51
47,54
32,59
